city,country,lng,lat
Alzenau in Unterfranken,Germany,9.050072499999999,50.090003499999995
Alès,France,4.089392,44.132234999999994
Amadora,Portugal,-9.2241436,38.7426334
Amagasaki,Japan,135.41555655555555,34.74295122222222
Amana,United States,-91.893417,41.800466
Amara,Iraq,47.173907,31.815949
Amarillo,United States,-101.8799078,35.19750861818182
Amarkantak,India,81.749344,22.806846
Amaro,Italy,12.133166,45.337041
Amasya,Turkey,35.805195,40.653737
Ambajogai,India,76.371707,18.731803
Ambala,India,77.045058,30.250764
Ambalangoda,Sri Lanka,,
Ambato,Ecuador,-78.90191966666667,-1.1736363333333333
Amberg,Germany,11.865806,49.45775266666667
Ambikāpur,India,83.1928,23.1122
Ambler,United States,-75.22164583333334,40.15699216666666
Ambleside,United Kingdom,-2.939498,54.352605000000004
Amboise,France,1.0258450000000001,47.41574
Ambon City,Ethiopia,37.844746,8.982655000000001
Ambon City,Indonesia,128.19461499999997,-3.677484
Ambridge,United States,-80.230456,40.593334000000006
Ambur,India,78.720033,12.778196000000001
Ambès,France,-0.599454,45.042332
Ambérieu-en-Bugey,France,,
American Fork,United States,-111.76887099999999,40.380392
Americana,Brazil,-47.33233266666667,-22.757430333333332
Americus,United States,-84.220596,32.08014433333333
Amersfoort,Netherlands,5.370866914285713,52.16480028285715
Amersham,United Kingdom,-0.6368894,51.66110260000001
Ames,United States,-93.64071075,42.02171625
Amethī,India,80.92408,26.849478
Amfissa,Greece,22.376372,38.52104
Amherst,United States,-76.71035241666665,42.337381
Amherst Center,United States,-72.51529699999999,42.37561485714286
Ami,Japan,140.22634,36.01825600000001
Amiens,France,2.2861484374999996,49.88875356249999
Amloh,India,76.24980199999999,30.626361000000003
Amman,Jordan,35.89373282926831,31.967025707317074
Ammanford,United Kingdom,-4.031746,51.780223
Ammāpettai,India,80.132673,12.742047
Amora,Portugal,-9.114867,38.617932
Amoy,China,118.12565957142856,24.533146285714288
Ampara,Sri Lanka,81.769653,7.2987705
Amparo,Brazil,-46.824932,-22.7197005
Amqui,Canada,-67.436564,48.470606
Amritsar,India,74.86511436,31.64197526
Amrāvati,India,77.57038399999999,21.096534249999998
Amstelveen,Netherlands,4.8435991000000005,52.2990985625
Amsterdam,Netherlands,4.841098665838511,52.366000409937875
Amsterdam,United States,-74.184954,42.940527
Amsterdam-Zuidoost,Netherlands,4.953267833333334,52.301060666666665
Amstetten,Austria,14.501491,48.156073
Amurrio,Spain,-3.001457,43.047537
Anaconda,United States,-112.957553,46.13282
Anacortes,United States,-122.615025,48.502094
Anadarko,United States,-98.24575099999998,35.0874825
Anagni,Italy,,
Anaheim,United States,-117.91458834666666,33.83546719333333
Anamosa,United States,-91.284684,42.10756
Anan,Japan,134.641732,33.913357500000004
Anand,India,72.8275735,22.737406333333336
Ananindeua,Brazil,-48.385473,-1.374675
Anantapur,India,77.61518633333333,14.648575
Anantnag,India,75.15186,33.736537
Anavyssos,Greece,23.904064,37.733809
Ancaster,Canada,-80.00037400000001,43.19521266666667
Anchorage,United States,-149.5620112428571,61.150710300000014
Ancona,Italy,13.456361375,43.550023624999994
Ancón,Panama,-79.543128,8.961016
Andahuaylas,Peru,-73.387888,-13.656001000000002
Andalusia,United States,-86.451234,31.321183
Andebu,Norway,10.133032,59.309141
Andelfingen,Switzerland,8.6852879,47.5938645
Andenes,Norway,16.059327333333332,69.30518333333333
Andernach,Germany,7.410963,50.4174235
Anderson,United States,-83.48941754545454,36.05452909090909
Andijan,Uzbekistan,72.33378833333332,40.819220666666666
Andong,South Korea,128.691402,36.6878115
Andover,United Kingdom,-1.4655808750000001,51.215786625
Andover,United States,-71.15535945454545,42.66517681818182
Andrews AFB CDP,United States,-76.896392,38.807969
Andria,Italy,16.303407,41.229732
Andrychów,Poland,19.3352595,49.8603785
Andrézieux-Bouthéon,France,4.2795,45.522556
Andújar,Spain,-4.030481,38.039875
Angamāli,India,76.41334599999999,10.220849000000001
Angarsk,Russia,103.879383,52.539083999999995
Ange-Gardien,Canada,-71.08984699999999,46.923939000000004
Angeles City,Philippines,120.5923205,15.1395765
